request_id,timestamp,correlation_id,session_id,application_id,endpoint,method,status_code,duration_ms,outcome,channel,device_type,period
req-0001,2025-01-19T13:00:00Z,corr-0001,p4-session-01,app-0101,/api/applications/{id}/verify,POST,200,181,success,mobile,phone,baseline
req-0002,2025-01-19T13:01:00Z,corr-0002,p4-session-02,app-0102,/api/applications/{id}/verify,POST,200,182,success,mobile,phone,baseline
req-0003,2025-01-19T13:02:00Z,corr-0003,p4-session-03,app-0103,/api/applications/{id}/verify,POST,200,183,success,web,desktop,baseline
req-0004,2025-01-19T13:03:00Z,corr-0004,p4-session-04,app-0104,/api/applications/{id}/verify,POST,200,184,success,mobile,phone,baseline
req-0005,2025-01-19T13:04:00Z,corr-0005,p4-session-05,app-0105,/api/applications/{id}/verify,POST,200,185,success,mobile,phone,baseline
req-0006,2025-01-19T13:05:00Z,corr-0006,p4-session-06,app-0106,/api/applications/{id}/verify,POST,200,186,success,web,desktop,baseline
req-0007,2025-01-19T13:06:00Z,corr-0007,p4-session-07,app-0107,/api/applications/{id}/verify,POST,200,187,success,mobile,phone,baseline
req-0008,2025-01-19T13:07:00Z,corr-0008,p4-session-08,app-0108,/api/applications/{id}/verify,POST,200,188,success,mobile,phone,baseline
req-0009,2025-01-19T13:08:00Z,corr-0009,p4-session-09,app-0109,/api/applications/{id}/verify,POST,200,189,success,web,desktop,baseline
req-0010,2025-01-19T13:09:00Z,corr-0010,p4-session-10,app-0110,/api/applications/{id}/verify,POST,200,190,success,mobile,phone,baseline
req-0011,2025-01-20T13:00:00Z,corr-0011,p4-session-11,app-0111,/api/applications/{id}/verify,POST,200,1950,success,mobile,phone,incident
req-0012,2025-01-20T13:01:00Z,corr-0012,p4-session-12,app-0112,/api/applications/{id}/verify,POST,504,1950,error,web,desktop,incident
req-0013,2025-01-20T13:02:00Z,corr-0013,p4-session-13,app-0113,/api/applications/{id}/verify,POST,200,193,success,mobile,phone,incident
req-0014,2025-01-20T13:03:00Z,corr-0014,p4-session-14,app-0114,/api/applications/{id}/verify,POST,200,1950,success,mobile,phone,incident
req-0015,2025-01-20T13:04:00Z,corr-0015,p4-session-15,app-0115,/api/applications/{id}/verify,POST,504,1950,error,web,desktop,incident
req-0016,2025-01-20T13:05:00Z,corr-0016,p4-session-16,app-0116,/api/applications/{id}/verify,POST,200,196,success,mobile,phone,incident
req-0017,2025-01-20T13:06:00Z,corr-0017,p4-session-17,app-0117,/api/applications/{id}/verify,POST,200,1950,success,mobile,phone,incident
req-0018,2025-01-20T13:07:00Z,corr-0018,p4-session-18,app-0118,/api/applications/{id}/verify,POST,504,1950,error,web,desktop,incident
req-0019,2025-01-20T13:08:00Z,corr-0019,p4-session-19,app-0119,/api/applications/{id}/verify,POST,200,199,success,mobile,phone,incident
req-0020,2025-01-20T13:09:00Z,corr-0020,p4-session-20,app-0120,/api/applications/{id}/verify,POST,200,200,success,mobile,phone,incident
