query_id,timestamp,correlation_id,query_name,operation_type,table_category,duration_ms,rows_examined,rows_returned,outcome,period
qry-0001-p,2025-01-19T13:00:00Z,corr-0001,lookup_application,select,applications,36,1,1,success,baseline
qry-0002-p,2025-01-19T13:01:00Z,corr-0002,lookup_application,select,applications,37,1,1,success,baseline
qry-0003-p,2025-01-19T13:02:00Z,corr-0003,lookup_application,select,applications,38,1,1,success,baseline
qry-0004-p,2025-01-19T13:03:00Z,corr-0004,lookup_application,select,applications,39,1,1,success,baseline
qry-0005-p,2025-01-19T13:04:00Z,corr-0005,lookup_application,select,applications,40,1,1,success,baseline
qry-0006-p,2025-01-19T13:05:00Z,corr-0006,lookup_application,select,applications,41,1,1,success,baseline
qry-0007-p,2025-01-19T13:06:00Z,corr-0007,lookup_application,select,applications,42,1,1,success,baseline
qry-0008-p,2025-01-19T13:07:00Z,corr-0008,lookup_application,select,applications,43,1,1,success,baseline
qry-0009-p,2025-01-19T13:08:00Z,corr-0009,lookup_application,select,applications,44,1,1,success,baseline
qry-0010-p,2025-01-19T13:09:00Z,corr-0010,lookup_application,select,applications,45,1,1,success,baseline
qry-0011-p,2025-01-20T13:00:00Z,corr-0011,lookup_application,select,applications,46,1,1,success,incident
qry-0012-p,2025-01-20T13:01:00Z,corr-0012,lookup_application,select,applications,47,1,1,success,incident
qry-0013-p,2025-01-20T13:02:00Z,corr-0013,lookup_application,select,applications,620,5000,1,success,incident
qry-0014-p,2025-01-20T13:03:00Z,corr-0014,lookup_application,select,applications,49,1,1,success,incident
qry-0015-p,2025-01-20T13:04:00Z,corr-0015,lookup_application,select,applications,50,1,1,success,incident
qry-0016-p,2025-01-20T13:05:00Z,corr-0016,lookup_application,select,applications,51,1,1,success,incident
qry-0016-1,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-2,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-3,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-4,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-5,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-6,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-7,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-8,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-9,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0016-10,2025-01-20T13:05:00Z,corr-0016,load_account_detail,select,accounts,45,1,1,success,incident
qry-0017-p,2025-01-20T13:06:00Z,corr-0017,lookup_application,select,applications,52,1,1,success,incident
qry-0018-p,2025-01-20T13:07:00Z,corr-0018,lookup_application,select,applications,53,1,1,success,incident
qry-0019-p,2025-01-20T13:08:00Z,corr-0019,lookup_application,select,applications,54,1,1,success,incident
qry-0020-p,2025-01-20T13:09:00Z,corr-0020,lookup_application,select,applications,55,1,1,success,incident
