event_id,timestamp,session_id,anonymous_or_synthetic_member_id,channel,device_type,event_name,page_or_feature,outcome,duration_ms,source_system
evt-0001,2025-01-13T14:00:00Z,session-001,synthetic-member-001,web,desktop,page_view,account_opening,success,420,member_web
evt-0002,2025-01-13T14:01:00Z,session-001,synthetic-member-001,web,desktop,application_started,account_opening,success,900,account_opening
evt-0003,2025-01-13T14:02:00Z,session-001,synthetic-member-001,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider
evt-0004,2025-01-13T14:03:00Z,session-001,synthetic-member-001,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0005,2025-01-13T14:04:00Z,session-001,synthetic-member-001,web,desktop,application_submitted,account_opening,success,800,account_opening
evt-0006,2025-01-13T14:05:00Z,session-001,synthetic-member-001,web,desktop,application_completed,account_opening,success,1100,account_opening
evt-0007,2025-01-13T14:10:00Z,session-002,synthetic-member-002,web,desktop,page_view,account_opening,success,420,member_web
evt-0008,2025-01-13T14:11:00Z,session-002,synthetic-member-002,web,desktop,application_started,account_opening,success,900,account_opening
evt-0009,2025-01-13T14:12:00Z,session-002,synthetic-member-002,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider
evt-0010,2025-01-13T14:13:00Z,session-002,synthetic-member-002,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0011,2025-01-13T14:14:00Z,session-002,synthetic-member-002,web,desktop,application_submitted,account_opening,success,800,account_opening
evt-0012,2025-01-13T14:15:00Z,session-002,synthetic-member-002,web,desktop,application_completed,account_opening,success,1100,account_opening
evt-0013,2025-01-13T14:20:00Z,session-003,synthetic-member-003,web,desktop,page_view,account_opening,success,420,member_web
evt-0014,2025-01-13T14:21:00Z,session-003,synthetic-member-003,web,desktop,application_started,account_opening,success,900,account_opening
evt-0015,2025-01-13T14:22:00Z,session-003,synthetic-member-003,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider
evt-0016,2025-01-13T14:23:00Z,session-003,synthetic-member-003,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0017,2025-01-13T14:24:00Z,session-003,synthetic-member-003,web,desktop,application_submitted,account_opening,success,800,account_opening
evt-0018,2025-01-13T14:25:00Z,session-003,synthetic-member-003,web,desktop,application_completed,account_opening,success,1100,account_opening
evt-0019,2025-01-13T14:30:00Z,session-004,synthetic-member-004,web,desktop,page_view,account_opening,success,420,member_web
evt-0020,2025-01-13T14:31:00Z,session-004,synthetic-member-004,web,desktop,application_started,account_opening,success,900,account_opening
evt-0021,2025-01-13T14:32:00Z,session-004,synthetic-member-004,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider
evt-0022,2025-01-13T14:33:00Z,session-004,synthetic-member-004,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0023,2025-01-13T14:34:00Z,session-004,synthetic-member-004,web,desktop,application_submitted,account_opening,success,800,account_opening
evt-0024,2025-01-13T14:35:00Z,session-004,synthetic-member-004,web,desktop,application_completed,account_opening,success,1100,account_opening
evt-0025,2025-01-13T14:40:00Z,session-005,synthetic-member-005,web,desktop,page_view,account_opening,success,420,member_web
evt-0026,2025-01-13T14:41:00Z,session-005,synthetic-member-005,web,desktop,application_started,account_opening,success,900,account_opening
evt-0027,2025-01-13T14:42:00Z,session-005,synthetic-member-005,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider
evt-0028,2025-01-13T14:43:00Z,session-005,synthetic-member-005,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0029,2025-01-13T14:44:00Z,session-005,synthetic-member-005,web,desktop,application_submitted,account_opening,success,800,account_opening
evt-0030,2025-01-13T14:45:00Z,session-005,synthetic-member-005,web,desktop,application_completed,account_opening,success,1100,account_opening
evt-0031,2025-01-13T14:50:00Z,session-006,synthetic-member-006,web,desktop,page_view,account_opening,success,420,member_web
evt-0032,2025-01-13T14:51:00Z,session-006,synthetic-member-006,web,desktop,application_started,account_opening,success,900,account_opening
evt-0033,2025-01-13T14:52:00Z,session-006,synthetic-member-006,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider
evt-0034,2025-01-13T14:53:00Z,session-006,synthetic-member-006,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0035,2025-01-13T14:54:00Z,session-006,synthetic-member-006,web,desktop,application_submitted,account_opening,success,800,account_opening
evt-0036,2025-01-13T15:00:00Z,session-007,synthetic-member-007,mobile,phone,page_view,account_opening,success,420,mobile_app
evt-0037,2025-01-13T15:01:00Z,session-007,synthetic-member-007,mobile,phone,application_started,account_opening,success,900,account_opening
evt-0038,2025-01-13T15:02:00Z,session-007,synthetic-member-007,mobile,phone,identity_verification_started,identity_verification,success,700,identity_provider
evt-0039,2025-01-13T15:03:00Z,session-007,synthetic-member-007,mobile,phone,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0040,2025-01-13T15:04:00Z,session-007,synthetic-member-007,mobile,phone,application_submitted,account_opening,success,800,account_opening
evt-0041,2025-01-13T15:05:00Z,session-007,synthetic-member-007,mobile,phone,application_completed,account_opening,success,1100,account_opening
evt-0042,2025-01-13T15:10:00Z,session-008,synthetic-member-008,mobile,phone,page_view,account_opening,success,420,mobile_app
evt-0043,2025-01-13T15:11:00Z,session-008,synthetic-member-008,mobile,phone,application_started,account_opening,success,900,account_opening
evt-0044,2025-01-13T15:12:00Z,session-008,synthetic-member-008,mobile,phone,identity_verification_started,identity_verification,success,700,identity_provider
evt-0045,2025-01-13T15:13:00Z,session-008,synthetic-member-008,mobile,phone,identity_verification_completed,identity_verification,success,1500,identity_provider
evt-0046,2025-01-13T15:14:00Z,session-008,synthetic-member-008,mobile,phone,application_submitted,account_opening,success,800,account_opening
evt-0047,2025-01-13T15:15:00Z,session-008,synthetic-member-008,mobile,phone,application_completed,account_opening,success,1100,account_opening
evt-0048,2025-01-13T15:20:00Z,session-009,synthetic-member-009,mobile,phone,page_view,account_opening,success,420,mobile_app
evt-0049,2025-01-13T15:21:00Z,session-009,synthetic-member-009,mobile,phone,application_started,account_opening,success,900,account_opening
evt-0050,2025-01-13T15:22:00Z,session-009,synthetic-member-009,mobile,phone,identity_verification_started,identity_verification,success,700,identity_provider
evt-0051,2025-01-13T15:23:00Z,session-009,synthetic-member-009,mobile,phone,identity_verification_failed,identity_verification,failure,1400,identity_provider
evt-0052,2025-01-13T15:30:00Z,session-010,synthetic-member-010,mobile,phone,page_view,account_opening,success,420,mobile_app
evt-0053,2025-01-13T15:31:00Z,session-010,synthetic-member-010,mobile,phone,application_started,account_opening,success,900,account_opening
evt-0054,2025-01-13T15:32:00Z,session-010,synthetic-member-010,mobile,phone,identity_verification_started,identity_verification,success,700,identity_provider
evt-0055,2025-01-13T15:33:00Z,session-010,synthetic-member-010,mobile,phone,identity_verification_failed,identity_verification,failure,1400,identity_provider
evt-0056,2025-01-13T15:50:00Z,session-011,synthetic-member-011,web,desktop,page_view,login,success,250,member_web
evt-0057,2025-01-13T15:51:00Z,session-011,synthetic-member-011,web,desktop,login_success,login,success,640,harbor_api
evt-0058,2025-01-13T15:52:00Z,session-011,synthetic-member-011,web,desktop,account_view,checking_summary,success,310,harbor_api
evt-0059,2025-01-13T16:00:00Z,session-012,synthetic-member-012,mobile,phone,login_success,biometric_login,success,380,harbor_api
evt-0060,2025-01-13T16:01:00Z,session-012,synthetic-member-012,mobile,phone,transfer_started,internal_transfer,success,510,transfer_service
evt-0061,2025-01-13T16:02:00Z,session-012,synthetic-member-012,mobile,phone,transfer_completed,internal_transfer,success,760,transfer_service
