event_id,timestamp,session_id,anonymous_or_synthetic_member_id,channel,device_type,event_name,page_or_feature,outcome,duration_ms,source_system,application_id,attempt_number,error_category,vendor_result,api_duration_ms
evt-00001,2025-01-06T09:00:00Z,d01-app-01,synthetic-member-d01-app-01,web,desktop,page_view,account_opening,success,420,member_web,app-0001,1,,,0
evt-00002,2025-01-06T09:01:00Z,d01-app-01,synthetic-member-d01-app-01,web,desktop,application_started,account_opening,success,900,account_opening,app-0001,1,,,0
evt-00003,2025-01-06T09:02:00Z,d01-app-01,synthetic-member-d01-app-01,Mobile,desktop,identity_verification_started,identity_verification,success,700,identity_provider,app-0001,1,,,520
evt-00004,2025-01-06T09:03:00Z,d01-app-01,synthetic-member-d01-app-01,web,desktop,identity_verification_completed,identity_verification,success,-50,identity_provider,app-0001,1,,verified,700
evt-00005,2025-01-06T09:04:00Z,d01-app-01,synthetic-member-d01-app-01,,desktop,application_submitted,account_opening,success,800,account_opening,app-0001,1,,,0
evt-00006,not-a-timestamp,d01-app-02,synthetic-member-d01-app-02,web,desktop,page_view,account_opening,success,420,member_web,app-0002,1,,,0
evt-00007,2025-01-06T09:46:00Z,d01-app-02,synthetic-member-d01-app-02,web,desktop,application_started,account_opening,success,900,account_opening,app-0002,1,,,0
evt-00008,2025-01-06T09:47:00Z,d01-app-02,synthetic-member-d01-app-02,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider,app-0002,1,,,520
evt-00009,2025-01-06T09:48:00Z,d01-app-02,synthetic-member-d01-app-02,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider,app-0002,1,,verified,700
evt-00010,2025-01-06T09:49:00Z,d01-app-02,synthetic-member-d01-app-02,web,desktop,application_submitted,account_opening,success,800,account_opening,app-0002,1,,,0
evt-00011,2025-01-06T09:50:00Z,d01-app-02,synthetic-member-d01-app-02,web,desktop,application_completed,account_opening,success,1100,account_opening,app-0002,1,,,0
evt-00012,2025-01-06T10:30:00Z,d01-app-03,synthetic-member-d01-app-03,web,desktop,page_view,account_opening,success,420,member_web,app-0003,1,,,0
evt-00013,2025-01-06T10:31:00Z,d01-app-03,synthetic-member-d01-app-03,web,desktop,application_started,account_opening,success,900,account_opening,app-0003,1,,,0
evt-00014,2025-01-06T10:32:00Z,d01-app-03,synthetic-member-d01-app-03,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider,app-0003,1,,,520
evt-00015,2025-01-06T10:33:00Z,d01-app-03,synthetic-member-d01-app-03,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider,app-0003,1,,verified,700
evt-00016,2025-01-06T10:34:00Z,d01-app-03,synthetic-member-d01-app-03,web,desktop,application_submitted,account_opening,success,800,account_opening,app-0003,1,,,0
evt-00017,2025-01-06T10:35:00Z,d01-app-03,synthetic-member-d01-app-03,web,desktop,application_completed,account_opening,success,1100,account_opening,app-0003,1,,,0
evt-00018,2025-01-06T11:15:00Z,d01-app-04,synthetic-member-d01-app-04,web,desktop,page_view,account_opening,success,420,member_web,app-0004,1,,,0
evt-00019,2025-01-06T11:16:00Z,d01-app-04,synthetic-member-d01-app-04,web,desktop,application_started,account_opening,success,900,account_opening,app-0004,1,,,0
evt-00020,2025-01-06T11:17:00Z,d01-app-04,synthetic-member-d01-app-04,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider,app-0004,1,,,520
evt-00021,2025-01-06T11:18:00Z,d01-app-04,synthetic-member-d01-app-04,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider,app-0004,1,,verified,700
evt-00022,2025-01-06T11:19:00Z,d01-app-04,synthetic-member-d01-app-04,web,desktop,application_submitted,account_opening,success,800,account_opening,app-0004,1,,,0
evt-00023,2025-01-06T11:20:00Z,d01-app-04,synthetic-member-d01-app-04,web,desktop,application_completed,account_opening,success,1100,account_opening,app-0004,1,,,0
evt-00024,2025-01-06T12:00:00Z,d01-app-05,synthetic-member-d01-app-05,web,desktop,page_view,account_opening,success,420,member_web,app-0005,1,,,0
evt-00025,2025-01-06T12:01:00Z,d01-app-05,synthetic-member-d01-app-05,web,desktop,application_started,account_opening,success,900,account_opening,app-0005,1,,,0
evt-00026,2025-01-06T12:02:00Z,d01-app-05,synthetic-member-d01-app-05,web,desktop,identity_verification_started,identity_verification,success,700,identity_provider,app-0005,1,,,520
evt-00027,2025-01-06T12:03:00Z,d01-app-05,synthetic-member-d01-app-05,web,desktop,identity_verification_completed,identity_verification,success,1500,identity_provider,app-0005,1,,verified,700
evt-00028,2025-01-06T12:04:00Z,d01-app-05,synthetic-member-d01-app-05,web,desktop,application_submitted,account_opening,success,800,account_opening,app-0005,1,,,0
evt-00029,2025-01-06T12:05:00Z,d01-app-05,synthetic-member-d01-app-05,web,desktop,application_completed,account_opening,success,1100,account_opening,app-0005,1,,,0
